year,category,round,score_type,source,target,weight
1957,Senior,final,total,AT,NL,6
1957,Senior,final,total,BE,NL,5
1957,Senior,final,total,DK,NL,3
1957,Senior,final,total,FR,NL,4
1957,Senior,final,total,DE,NL,1
1957,Senior,final,total,IT,NL,1
1957,Senior,final,total,LU,NL,3
1957,Senior,final,total,CH,NL,7
1957,Senior,final,total,GB,NL,1
1957,Senior,final,total,BE,FR,2
1957,Senior,final,total,DK,FR,2
1957,Senior,final,total,DE,FR,6
1957,Senior,final,total,LU,FR,4
1957,Senior,final,total,NL,FR,1
1957,Senior,final,total,GB,FR,2
1957,Senior,final,total,IT,DK,3
1957,Senior,final,total,NL,DK,5
1957,Senior,final,total,GB,DK,2
1957,Senior,final,total,AT,LU,3
1957,Senior,final,total,IT,LU,4
1957,Senior,final,total,GB,LU,1
1957,Senior,final,total,BE,DE,1
1957,Senior,final,total,FR,DE,6
1957,Senior,final,total,IT,DE,1
1957,Senior,final,total,BE,IT,1
1957,Senior,final,total,DK,IT,1
1957,Senior,final,total,LU,IT,1
1957,Senior,final,total,NL,IT,2
1957,Senior,final,total,GB,IT,2
1957,Senior,final,total,AT,GB,1
1957,Senior,final,total,BE,GB,1
1957,Senior,final,total,LU,GB,1
1957,Senior,final,total,NL,GB,1
1957,Senior,final,total,CH,GB,2
1957,Senior,final,total,DK,BE,2
1957,Senior,final,total,DE,BE,2
1957,Senior,final,total,CH,BE,1
1957,Senior,final,total,DK,CH,2
1957,Senior,final,total,DE,CH,1
1957,Senior,final,total,IT,CH,1
1957,Senior,final,total,LU,CH,1
1957,Senior,final,total,NL,AT,1
1957,Senior,final,total,GB,AT,2
1958,Senior,final,total,AT,FR,7
1958,Senior,final,total,BE,FR,1
1958,Senior,final,total,DK,FR,9
1958,Senior,final,total,DE,FR,1
1958,Senior,final,total,IT,FR,6
1958,Senior,final,total,LU,FR,1
1958,Senior,final,total,SE,FR,1
1958,Senior,final,total,CH,FR,1
1958,Senior,final,total,BE,CH,2
1958,Senior,final,total,FR,CH,3
1958,Senior,final,total,IT,CH,4
1958,Senior,final,total,LU,CH,5
1958,Senior,final,total,NL,CH,6
1958,Senior,final,total,SE,CH,4
1958,Senior,final,total,AT,IT,1
1958,Senior,final,total,BE,IT,4
1958,Senior,final,total,FR,IT,1
1958,Senior,final,total,DE,IT,4
1958,Senior,final,total,NL,IT,1
1958,Senior,final,total,SE,IT,1
1958,Senior,final,total,CH,IT,1
1958,Senior,final,total,AT,SE,1
1958,Senior,final,total,BE,SE,1
1958,Senior,final,total,LU,SE,3
1958,Senior,final,total,NL,SE,2
1958,Senior,final,total,CH,SE,3
1958,Senior,final,total,DK,BE,1
1958,Senior,final,total,DE,BE,5
1958,Senior,final,total,SE,BE,1
1958,Senior,final,total,CH,BE,1
1958,Senior,final,total,BE,AT,1
1958,Senior,final,total,FR,AT,3
1958,Senior,final,total,LU,AT,1
1958,Senior,final,total,SE,AT,1
1958,Senior,final,total,CH,AT,2
1958,Senior,final,total,AT,DE,1
1958,Senior,final,total,BE,DE,1
1958,Senior,final,total,FR,DE,2
1958,Senior,final,total,SE,DE,1
1958,Senior,final,total,FR,DK,1
1958,Senior,final,total,NL,DK,1
1958,Senior,final,total,SE,DK,1
1958,Senior,final,total,CH,NL,1
1958,Senior,final,total,CH,LU,1
1959,Senior,final,total,AT,NL,3
1959,Senior,final,total,BE,NL,3
1959,Senior,final,total,FR,NL,4
1959,Senior,final,total,DE,NL,2
1959,Senior,final,total,IT,NL,7
1959,Senior,final,total,MC,NL,1
1959,Senior,final,total,GB,NL,1
1959,Senior,final,total,AT,GB,2
1959,Senior,final,total,BE,GB,2
1959,Senior,final,total,DK,GB,1
1959,Senior,final,total,FR,GB,1
1959,Senior,final,total,MC,GB,2
1959,Senior,final,total,NL,GB,5
1959,Senior,final,total,CH,GB,3
1959,Senior,final,total,AT,FR,1
